Season,TeamID,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,OppScore,OppFGM,OppFGA,OppFGM3,OppFGA3,OppFTM,OppFTA,OppOR,OppDR,OppAst,OppTO,OppStl,OppBlk,OppPF,PomeroyRank,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM,MooreRank,W,L,T,MooreSOS,MoorePR
2010,1102,55.620689655172406,20.0,45.58620689655172,5.620689655172414,18.103448275862068,10.0,15.689655172413795,6.758620689655173,19.86206896551724,12.275862068965518,12.79310344827586,4.827586206896552,1.5172413793103448,17.551724137931036,62.96551724137931,21.448275862068964,47.10344827586207,7.206896551724138,20.82758620689655,12.862068965517242,18.82758620689655,8.862068965517242,22.20689655172414,13.0,11.655172413793107,5.931034482758621,2.931034482758621,16.03448275862069,254,MWC,-8.64,96.8,105.5,57.3,-0.046,2.52,103.7,101.1,-7.67,227,10,21,0,69.19,62.65
2010,1103,69.3858585858586,24.53400673400673,56.31784511784512,6.457912457912457,19.10841750841751,13.85993265993266,20.820875420875414,13.125925925925927,22.18585858585859,13.234343434343431,13.44175084175084,6.129292929292929,3.1016835016835023,19.428282828282825,64.87340067340067,22.22962962962963,52.505723905723904,4.823569023569021,14.869360269360271,15.590572390572392,22.01548821548822,11.089562289562288,21.7050505050505,10.618855218855217,14.106397306397305,6.9548821548821556,2.5326599326599326,18.870033670033667,121,MAC,5.2,105.3,100.1,65.1,0.047,-1.52,102.2,103.7,-4.29,124,24,11,0,67.08,71.22
2010,1104,68.5,24.71875,56.0625,5.46875,15.625,13.59375,19.21875,12.0625,23.125,13.40625,12.8125,7.78125,3.96875,18.21875,64.78125,23.0,54.1875,5.65625,17.8125,13.125,19.78125,12.0,22.4375,11.1875,13.9375,5.8125,4.09375,16.65625,63,SEC,12.55,107.9,95.3,64.2,-0.099,6.75,106.5,99.8,-0.93,53,17,15,0,75.56,80.07
2010,1105,63.52657004830918,21.077294685990342,56.90821256038647,3.8164251207729465,13.507246376811596,17.555555555555557,27.3719806763285,13.917874396135266,21.492753623188406,9.685990338164249,15.850241545893722,9.347826086956523,5.207729468599034,20.574879227053138,69.9951690821256,24.700483091787444,56.637681159420296,5.111111111111111,16.28019323671497,15.483091787439614,24.449275362318843,15.207729468599036,27.01449275362319,14.246376811594205,18.73913043478261,8.072463768115941,5.29951690821256,20.719806763285025,327,SWAC,-19.7,87.5,107.2,70.2,-0.016,-14.66,91.7,106.4,8.5,68,25,9,0,71.38,78.22
2010,1105,63.52657004830918,21.077294685990342,56.90821256038647,3.8164251207729465,13.507246376811596,17.555555555555557,27.3719806763285,13.917874396135266,21.492753623188406,9.685990338164249,15.850241545893722,9.347826086956523,5.207729468599034,20.574879227053138,69.9951690821256,24.700483091787444,56.637681159420296,5.111111111111111,16.28019323671497,15.483091787439614,24.449275362318843,15.207729468599036,27.01449275362319,14.246376811594205,18.73913043478261,8.072463768115941,5.29951690821256,20.719806763285025,327,SWAC,-19.7,87.5,107.2,70.2,-0.016,-14.66,91.7,106.4,8.5,337,11,16,0,56.72,48.4
2010,1106,63.73809523809525,21.130952380952387,53.27380952380952,5.8888888888888875,18.99206349206349,15.587301587301589,24.123015873015877,13.293650793650794,22.214285714285715,12.591269841269838,16.158730158730158,7.4444444444444455,4.1309523809523805,20.738095238095237,66.1388888888889,22.26190476190476,50.599206349206355,4.984126984126983,13.980158730158731,16.630952380952383,24.734126984126984,10.194444444444443,23.507936507936506,11.361111111111109,15.924603174603176,7.825396825396825,3.5634920634920637,21.21825396825397,289,SWAC,-12.63,93.5,106.2,65.2,0.022000000000000002,-11.86,93.3,105.2,8.16,288,7,25,0,63.79,56.59
2010,1106,63.73809523809525,21.130952380952387,53.27380952380952,5.8888888888888875,18.99206349206349,15.587301587301589,24.123015873015877,13.293650793650794,22.214285714285715,12.591269841269838,16.158730158730158,7.4444444444444455,4.1309523809523805,20.738095238095237,66.1388888888889,22.26190476190476,50.599206349206355,4.984126984126983,13.980158730158731,16.630952380952383,24.734126984126984,10.194444444444443,23.507936507936506,11.361111111111109,15.924603174603176,7.825396825396825,3.5634920634920637,21.21825396825397,289,SWAC,-12.63,93.5,106.2,65.2,0.022000000000000002,-11.86,93.3,105.2,8.16,303,16,15,0,55.73,55.07
2010,1106,63.73809523809525,21.130952380952387,53.27380952380952,5.8888888888888875,18.99206349206349,15.587301587301589,24.123015873015877,13.293650793650794,22.214285714285715,12.591269841269838,16.158730158730158,7.4444444444444455,4.1309523809523805,20.738095238095237,66.1388888888889,22.26190476190476,50.599206349206355,4.984126984126983,13.980158730158731,16.630952380952383,24.734126984126984,10.194444444444443,23.507936507936506,11.361111111111109,15.924603174603176,7.825396825396825,3.5634920634920637,21.21825396825397,295,AE,-13.16,97.2,110.3,63.6,-0.073,-4.25,99.6,103.8,-0.45,288,7,25,0,63.79,56.59
2010,1106,63.73809523809525,21.130952380952387,53.27380952380952,5.8888888888888875,18.99206349206349,15.587301587301589,24.123015873015877,13.293650793650794,22.214285714285715,12.591269841269838,16.158730158730158,7.4444444444444455,4.1309523809523805,20.738095238095237,66.1388888888889,22.26190476190476,50.599206349206355,4.984126984126983,13.980158730158731,16.630952380952383,24.734126984126984,10.194444444444443,23.507936507936506,11.361111111111109,15.924603174603176,7.825396825396825,3.5634920634920637,21.21825396825397,295,AE,-13.16,97.2,110.3,63.6,-0.073,-4.25,99.6,103.8,-0.45,303,16,15,0,55.73,55.07
2010,1108,60.37992831541219,20.899641577060933,55.157706093189965,4.3297491039426514,14.039426523297491,14.250896057347672,23.293906810035843,11.394265232974911,22.813620071684586,8.634408602150536,20.62724014336917,6.863799283154122,3.1541218637992827,21.526881720430108,81.70609318996416,28.544802867383513,61.48745519713263,7.161290322580645,18.731182795698928,17.45519713261649,27.46953405017921,14.99641577060932,27.745519713261647,18.197132616487455,15.659498207885303,10.731182795698924,5.39784946236559,20.204301075268816,347,SWAC,-32.65,81.3,113.9,72.1,-0.03,-9.37,95.5,104.8,5.19,347,2,29,0,59.14,38.56
2010,1111,72.66666666666667,24.630824372759857,51.946236559139784,7.060931899641577,17.85304659498208,16.344086021505376,21.842293906810035,10.673835125448027,26.956989247311824,11.06810035842294,14.942652329749103,5.354838709677418,2.892473118279569,17.573476702508962,68.34767025089606,24.19713261648745,57.54480286738353,7.767025089605736,22.11111111111111,12.186379928315413,18.659498207885303,10.060931899641576,19.620071684587817,13.225806451612902,10.333333333333332,6.960573476702509,2.412186379928316,19.55913978494624,109,SC,6.18,110.1,104.0,65.3,0.012,-1.96,101.7,103.7,2.75,105,24,13,0,64.4,73.45
2010,1112,70.26021505376346,23.516129032258068,53.057347670250905,6.111111111111112,17.096774193548384,17.116845878136207,23.36272401433692,9.555555555555557,23.953405017921142,12.108960573476699,13.774193548387096,5.9060931899641576,2.454480286738351,18.771326164874555,70.40716845878134,24.81792114695341,56.69605734767026,5.697491039426524,18.0673835125448,15.07383512544803,21.71541218637993,11.00931899641577,22.596415770609315,12.469534050179211,12.60931899641577,5.706093189964157,3.4444444444444446,19.51182795698925,87,P10,8.83,108.4,99.5,67.6,0.027000000000000003,8.32,107.1,98.8,6.93,75,16,15,0,76.87,76.87
2010,1113,66.75,22.5625,50.03125,8.1875,22.25,13.4375,18.9375,8.6875,23.1875,13.875,11.65625,6.65625,2.5,16.5,58.46875,20.40625,50.84375,5.5,17.25,12.15625,17.8125,10.40625,21.5,12.1875,12.9375,5.5,2.4375,17.53125,52,P10,15.18,110.0,94.8,61.0,-0.013000000000000001,4.11,104.1,100.0,-3.16,54,22,11,0,73.69,79.74
2010,1116,73.9236111111111,25.63541666666667,57.517361111111114,6.21875,17.916666666666668,16.43402777777778,24.159722222222218,10.881944444444445,23.17013888888889,13.600694444444445,13.555555555555555,7.184027777777778,4.013888888888889,18.520833333333336,73.19791666666666,25.506944444444446,58.95138888888889,7.173611111111112,19.25,15.010416666666668,20.746527777777782,12.229166666666668,24.472222222222218,12.826388888888891,14.524305555555555,6.559027777777778,4.607638888888889,20.215277777777782,119,SEC,5.3,105.9,100.6,69.7,-0.075,5.5,105.9,100.3,-2.77,92,14,18,0,73.47,75.07
